Einschreibeschluessel,Kuerzel,Semesterzug,"Name der Vorlesung",Kurzbezeichnung,Dozent,Bemerkungen,"Weiterer Link",Moodle-Link,Evaluierungswunsch
STUXNET-WiSe-24_25,HOF,PM2,ProzL.CAESem,PLS,HOFFMANN,," ","https://moodle.hs-hannover.de/course/view.php?id=26881 ",
Download@FGA,HOF,PS4,Proz.Leitt1,PLT1,HOFFMANN,," ","https://moodle.hs-hannover.de/course/view.php?id=8265 ",
Download@FGA,HOF,VM2,Proz.Leitt1,PLT1,HOFFMANN,," ","https://moodle.hs-hannover.de/course/view.php?id=8265 ",
Download@FGA,HOF,WI5,Proz.Leitt1,PLT1,HOFFMANN,," ","https://moodle.hs-hannover.de/course/view.php?id=8265 ",
2024_Winter,DIR,VM2,Proz.Leitt2,PLT2,DIERSEN,," ","https://moodle.hs-hannover.de/course/view.php?id=27383 ",
AMPEL-WiSe-24_25,HOY,VE5,Proz.Leitt1,PLTV,HOYER,," ","https://moodle.hs-hannover.de/course/view.php?id=26873 ",
Bestand&Durchlaufzeit,BEG,PS5,Prod.P.u.St,PPS,BEGEMANN,," ","https://moodle.hs-hannover.de/course/view.php?id=27264 ",
Bestand&Durchlaufzeit,BEG,VM1,Prod.P.u.St,PPS,BEGEMANN,," ","https://moodle.hs-hannover.de/course/view.php?id=27264 ",
Bestand&Durchlaufzeit,BEG,WI5,Prod.P.u.St,PPS,BEGEMANN,," ","https://moodle.hs-hannover.de/course/view.php?id=27264 ",
"Bitte per E-Mail beim Dozenten erfragen",HOB,WI2,Produktion,PRO,"HOHBERGER L","<p dir=""ltr"">Weitere Infos zu den Lehrveranstaltungen der Fakultät IV finden SIe unter: <br /><a href=""https://moodle.hs-hannover.de/course/view.php?id=2446"" target=""_blank"" rel=""noreferrer noopener"">https://moodle.hs-hannover.de/course/view.php?id=2446</a></p><p dir=""ltr""><br /></p><p dir=""ltr""><br /></p><br />"," "," ",
"Bitte per E-Mail beim Dozenten erfragen",HOB,WT1,Produktion,PRO,"HOHBERGER L","<p dir=""ltr"" style=""text-align:left;""></p><p dir=""ltr"">Weitere Infos zu den Lehrveranstaltungen der Fakultät IV finden SIe unter: <br /><a href=""https://moodle.hs-hannover.de/course/view.php?id=2446"" target=""_blank"" rel=""noreferrer noopener"">https://moodle.hs-hannover.de/course/view.php?id=2446</a></p><p dir=""ltr""><br /></p><br /><p></p>"," "," ",
ExcellentSlides!,NIR,ID1,Praes.tech.,PRT,NIEROBISCH,," ","https://moodle.hs-hannover.de/course/view.php?id=27389 ",
ExcellentSlides!,NIR,KT5,Praes.tech.,PRT,NIEROBISCH,," ","https://moodle.hs-hannover.de/course/view.php?id=27389 ",
ExcellentSlides!,NIR,MT1,Praes.tech.,PRT,NIEROBISCH,," ","https://moodle.hs-hannover.de/course/view.php?id=27389 ",
ExcellentSlides!,NIR,PT5,Praes.tech.,PRT,NIEROBISCH,," ","https://moodle.hs-hannover.de/course/view.php?id=27389 ",
ExcellentSlides!,NIR,WT5,Praes.tech.,PRT,NIEROBISCH,," ","https://moodle.hs-hannover.de/course/view.php?id=27389 ",
PHY-L2324,GIE,II2,Physik-L,PYL,GIERAY,," ","https://moodle.hs-hannover.de/course/view.php?id=27080 ",
PYLWS2425,PIN,M3A,Physik-L,PYL,PINDRUS,," ","https://moodle.hs-hannover.de/course/view.php?id=27475 ",
